20,20,2.4,2.4,
0,2.4,4.8,7.2,9.6,12,14.4,16.8,19.2,21.6,24,26.4,28.8,31.2,33.6,36,38.4,40.8,43.2,45.6,
2.4,3.39411,5.36656,7.58947,9.89545,12.2376,14.5986,16.9706,19.3494,21.7329,24.1197,26.5089,28.8998,31.2922,33.6856,36.0799,38.4749,40.8705,43.2666,45.6631,
4.8,5.36656,6.78823,8.65332,10.7331,12.9244,15.1789,17.4723,19.7909,22.1269,24.4753,26.8328,29.1973,31.5671,33.9411,36.3186,38.6988,41.0814,43.4659,45.8519,
7.2,7.58947,8.65332,10.1823,12,13.9943,16.0997,18.2779,20.5056,22.7684,25.0567,27.3642,29.6864,32.02,34.3628,36.7129,39.0692,41.4304,43.7959,46.1649,
9.6,9.89545,10.7331,12,13.5765,15.3675,17.3066,19.3494,21.4663,23.6373,25.8488,28.0913,30.3579,32.6435,34.9445,37.258,39.5818,41.9142,44.2538,46.5996,
12,12.2376,12.9244,13.9943,15.3675,16.9706,18.7446,20.6456,22.6416,24.7095,26.8328,28.9993,31.2,33.4281,35.6786,37.9473,40.2313,42.5281,44.8357,47.1525,
14.4,14.5986,15.1789,16.0997,17.3066,18.7446,20.3647,22.1269,24,25.96,27.9886,30.0719,32.1994,34.3628,36.5557,38.7732,41.0112,43.2666,45.5368,47.8197,
16.8,16.9706,17.4723,18.2779,19.3494,20.6456,22.1269,23.7588,25.5124,27.3642,29.2957,31.2922,33.3419,35.4356,37.5659,39.7271,41.9142,44.1235,46.3517,48.5963,
19.2,19.3494,19.7909,20.5056,21.4663,22.6416,24,25.5124,27.1529,28.8998,30.735,32.6435,34.6133,36.6344,38.6988,40.8,42.9325,45.0919,47.2745,49.4773,
21.6,21.7329,22.1269,22.7684,23.6373,24.7095,25.96,27.3642,28.8998,30.547,32.2887,34.1104,36,37.9473,39.944,41.9829,44.0581,46.1649,48.2991,50.4571,
24,24.1197,24.4753,25.0567,25.8488,26.8328,27.9886,29.2957,30.735,32.2887,33.9411,35.6786,37.4892,39.3629,41.2912,43.2666,45.2831,47.3354,49.419,51.5302,
26.4,26.5089,26.8328,27.3642,28.0913,28.9993,30.0719,31.2922,32.6435,34.1104,35.6786,37.3352,39.0692,40.8705,42.7308,44.6426,46.5996,48.5963,50.6281,52.6908,
28.8,28.8998,29.1973,29.6864,30.3579,31.2,32.1994,33.3419,34.6133,36,37.4892,39.0692,40.7294,42.4603,44.2538,46.1025,48,49.9408,51.9199,53.9333,
31.2,31.2922,31.5671,32.02,32.6435,33.4281,34.3628,35.4356,36.6344,37.9473,39.3629,40.8705,42.4603,44.1235,45.8519,47.6386,49.4773,51.3622,53.2887,55.2522,
33.6,33.6856,33.9411,34.3628,34.9445,35.6786,36.5557,37.5659,38.6988,39.944,41.2912,42.7308,44.2538,45.8519,47.5176,49.2439,51.0247,52.8545,54.7284,56.642,
36,36.0799,36.3186,36.7129,37.258,37.9473,38.7732,39.7271,40.8,41.9829,43.2666,44.6426,46.1025,47.6386,49.2439,50.9117,52.6361,54.4118,56.2338,58.0979,
38.4,38.4749,38.6988,39.0692,39.5818,40.2313,41.0112,41.9142,42.9325,44.0581,45.2831,46.5996,48,49.4773,51.0247,52.6361,54.3058,56.0286,57.7997,59.6148,
40.8,40.8705,41.0814,41.4304,41.9142,42.5281,43.2666,44.1235,45.0919,46.1649,47.3354,48.5963,49.9408,51.3622,52.8545,54.4118,56.0286,57.6999,59.4212,61.1882,
43.2,43.2666,43.4659,43.7959,44.2538,44.8357,45.5368,46.3517,47.2745,48.2991,49.419,50.6281,51.9199,53.2887,54.7284,56.2338,57.7997,59.4212,61.094,62.814,
45.6,45.6631,45.8519,46.1649,46.5996,47.1525,47.8197,48.5963,49.4773,50.4571,51.5302,52.6908,53.9333,55.2522,56.642,58.0979,59.6148,61.1882,62.814,64.4881,
